length	num_GC	number_of_fragments	GC_content	number_of_positions	GC_bias	smoothed_GC_bias
151	135	0	0.8940397350993378	19300	0.0	0.0
151	136	0	0.9006622516556292	12813	0.0	0.0
151	137	0	0.9072847682119205	9245	0.0	0.0
151	138	0	0.9139072847682119	6615	0.0	0.0
151	139	0	0.9205298013245033	3995	0.0	0.0
151	140	0	0.9271523178807947	2671	0.0	0.0
151	141	0	0.9337748344370861	1910	0.0	0.0
151	142	0	0.9403973509933775	1206	0.0	0.0
151	143	0	0.9470198675496688	708	0.0	0.0
151	144	0	0.9536423841059603	271	0.0	0.0
151	145	0	0.9602649006622517	377	0.0	0.0
151	146	0	0.9668874172185431	213	0.0	0.0
151	147	0	0.9735099337748344	107	0.0	0.0
151	148	0	0.9801324503311258	15	0.0	0.0
151	149	0	0.9867549668874173	38	0.0	0.0
151	150	0	0.9933774834437086	34	0.0	0.0
151	151	0	1.0	11	0.0	0.0
152	0	0	0.0	104035	0.0	0.0
152	1	0	0.006578947368421052	84220	0.0	0.0
152	2	0	0.013157894736842105	95933	0.0	0.0
152	3	0	0.019736842105263157	102619	0.0	0.0
152	4	0	0.02631578947368421	107224	0.0	0.0
152	5	0	0.03289473684210526	122052	0.0	0.0
152	6	0	0.039473684210526314	126804	0.0	0.0
152	7	0	0.046052631578947366	133820	0.0	0.0
152	8	0	0.05263157894736842	136343	0.0	0.0
152	9	0	0.05921052631578947	142025	0.0	0.0
152	10	0	0.06578947368421052	142610	0.0	0.0
152	11	0	0.07236842105263158	145579	0.0	0.0
152	12	0	0.07894736842105263	154925	0.0	0.0
152	13	0	0.08552631578947369	161048	0.0	0.0
152	14	0	0.09210526315789473	172817	0.0	0.0
152	15	0	0.09868421052631579	187357	0.0	0.0
152	16	0	0.10526315789473684	199529	0.0	0.0
152	17	0	0.1118421052631579	220187	0.0	0.0
152	18	0	0.11842105263157894	249372	0.0	0.0
152	19	0	0.125	280118	0.0	0.0
152	20	0	0.13157894736842105	319906	0.0	0.0
152	21	0	0.13815789473684212	380779	0.0	0.0
152	22	0	0.14473684210526316	465925	0.0	0.0
152	23	0	0.1513157894736842	593448	0.0	0.0
152	24	0	0.15789473684210525	768733	0.0	0.0
152	25	0	0.16447368421052633	1019209	0.0	0.0
152	26	0	0.17105263157894737	1377516	0.0	0.0
152	27	0	0.17763157894736842	1888408	0.0	0.0
152	28	0	0.18421052631578946	2609612	0.0	0.09797659735437327
152	29	3	0.19078947368421054	3613166	0.2987657161040126	0.18806504924178127
152	30	3	0.19736842105263158	4968874	0.21725045299854068	0.231613335428576
152	31	4	0.20394736842105263	6739788	0.21355570380802694	0.26697456337926895
152	32	6	0.21052631578947367	9017626	0.23941780849919275	0.2814939844262552
152	33	16	0.21710526315789475	11913814	0.4832441298334503	0.32314109836672433
152	34	24	0.2236842105263158	15472694	0.5581394564606116	0.3660483617123589
152	35	29	0.23026315789473684	19765655	0.5279395613989257	0.39156938936715696
152	36	34	0.23684210526315788	24757210	0.4941680198933402	0.41648089957676565
152	37	33	0.24342105263157895	30511543	0.38917702068752735	0.4574961646292285
152	38	40	0.25	36892148	0.39014268560803084	0.4832072620136242
152	39	69	0.2565789473684211	43864863	0.5660173367013919	0.5236412598903318
152	40	86	0.2631578947368421	51329152	0.6028812564821493	0.5522496243823307
152	41	90	0.26973684210526316	59177965	0.5472426066320483	0.578191780051385
152	42	120	0.27631578947368424	67088311	0.64362337420757	0.6057894356436108
152	43	146	0.28289473684210525	75100300	0.6995336396762283	0.6428667496479562
152	44	186	0.2894736842105263	82917571	0.8071677340662281	0.7035451119843055
152	45	189	0.29605263157894735	90440696	0.7519610201334394	0.7336799753213075
152	46	201	0.3026315789473684	97581231	0.7411859616252324	0.7764454285980883
152	47	261	0.3092105263157895	104275849	0.9006461417845887	0.8064174592154965
152	48	257	0.3157894736842105	110517447	0.8367576651793763	0.8433707593057034
152	49	282	0.3223684210526316	116106154	0.8739594627767193	0.8906770463559518
152	50	332	0.32894736842105265	120957283	0.9876509387047181	0.9421509087605549
152	51	313	0.3355263157894737	125203048	0.8995532064946372	0.9865384144984015
152	52	351	0.34210526315789475	128673403	0.9815575088578522	1.03663309504002
152	53	372	0.34868421052631576	131356780	1.019032103228255	1.0826829726563145
152	54	413	0.35526315789473684	133174588	1.1159021384599617	1.1161731317510157
152	55	386	0.3618421052631579	134163719	1.0352604819428888	1.1550594695623322
152	56	451	0.3684210526315789	134268897	1.2086443903040691	1.211733048082366
152	57	449	0.375	133371512	1.2113808012196519	1.2791726828864245
152	58	509	0.3815789473684211	131599130	1.3917530580505344	1.3333878158557118
152	59	459	0.3881578947368421	129281249	1.2775401751500608	1.3874135055732615
152	60	463	0.39473684210526316	126389134	1.318161651941816	1.4314248612002265
152	61	460	0.40131578947368424	123079325	1.3448385383454358	1.4818449188775447
152	62	480	0.40789473684210525	119655230	1.443467371905326	1.5172034711688076
